title,topic,format,publishDate,impressions,ctr,avgViewDuration,views,likes,comments,retentionNotes,category
How to Win Bedwars EVERY Time — Beginner Guide,Bedwars Strategy,Long-form,2026-01-10,52000,6.2,540,9200,410,95,Strong hook with gameplay clip. Retention holds through tip sections. Small dip at mid-roll but recovers for final strategy.,Searchable Evergreen
I Got a 100 Win Streak in Bedwars,Win Streaks,Long-form,2026-01-18,68000,8.1,620,14500,720,210,Highest CTR on channel. Viewers hooked by the claim. Retention stays above 55% throughout. Comments full of people trying to beat it.,Experimental Breakout
Best Bedwars Kits Tier List 2026,Kit Rankings,Long-form,2026-01-25,35000,5.5,480,5800,260,130,Tier list format keeps viewers engaged. Lots of disagreement in comments which boosted engagement. Slight drop during lower tiers.,Authority Building
Bedwars but I Can Only Use TNT,Challenge Videos,Long-form,2026-02-01,41000,7.4,390,8700,380,145,Great curiosity hook. Retention dips after first big play at 3 min mark. Viewers skip to highlights.,Experimental Breakout
My Bedwars Settings and Hotkeys Explained,Settings/Setup,Long-form,2026-02-08,9500,2.9,210,680,45,18,Very low impressions. Audience doesn't care about settings from a small creator. Early drop-off at 30s.,Subscriber Conversion
Top 5 Mistakes Bedwars Noobs Make,Common Mistakes,Long-form,2026-02-14,38000,5.8,450,6200,290,88,List format works well. Each mistake segment has its own retention bump. Strong throughout.,Searchable Evergreen
I Challenged a Bedwars Sweat to 1v1,1v1 Challenges,Long-form,2026-02-20,55000,7.9,510,11200,520,195,Narrative tension keeps viewers watching. Big payoff moment at the end. 60% retention at midpoint.,Experimental Breakout
How to Speed Bridge Like a Pro in 30 Seconds,Bridging Tutorial,Shorts,2026-02-24,22000,5.1,28,4100,180,42,Good Short. Quick value delivery. Some viewers check channel page after. Works as a funnel.,Searchable Evergreen
Day in My Life as a Minecraft YouTuber,Vlog,Long-form,2026-03-01,4200,1.8,140,290,32,8,Worst performer. No search intent. Audience doesn't know creator well enough for personal content. Massive early drop-off.,Subscriber Conversion
Bedwars but My Teammate is a Hacker,Funny Moments,Long-form,2026-03-06,47000,6.8,420,9500,430,175,Entertainment value carries retention. Funny moments keep viewers watching. Strong comment engagement.,Experimental Breakout
The BEST Defense Strategy Nobody Uses,Advanced Strategy,Long-form,2026-03-12,29000,5.3,500,4600,200,72,Good for search. Viewers who click stay long. Niche topic limits impressions but retention is excellent.,Authority Building
I Played Bedwars for 24 Hours Straight,Endurance Challenge,Long-form,2026-03-18,62000,7.2,350,12800,580,230,High CTR from curiosity. Retention drops after hour 3 recap. Viewers skip to highlights. Great thumbnail performance.,Experimental Breakout
Unboxing My New Gaming Mouse,Gear Unboxing,Long-form,2026-03-22,3800,2.1,160,240,28,6,Classic small creator trap. Nobody cares about gear from unknown creators. Lowest impressions on channel.,Subscriber Conversion
How to Clutch 1v4 in Bedwars — Advanced Tips,Clutch Plays,Long-form,2026-03-28,33000,6.0,470,5900,270,85,Solid search performer. Tutorial format with gameplay examples. Retention holds well through demonstrations.,Searchable Evergreen
$1 vs $100 Minecraft Setup Challenge,Setup Comparison,Long-form,2026-04-02,44000,7.6,430,9800,440,160,VS format creates natural tension. Viewers stay for the verdict. High engagement in comments debating which is better.,Experimental Breakout
Bedwars Speedrun World Record Attempt,Speedrun,Long-form,2026-04-08,38000,6.5,380,7200,310,120,Speedrun format has built-in tension. Retention strong in first half. Some drop-off during failed attempts section.,Authority Building
Quick Tip: Win More Fights with This Trick,Combat Tips,Shorts,2026-04-12,18000,4.5,32,3200,140,35,Decent Short. Quick combat tip lands well. Lower CTR than long-form but good for discovery.,Searchable Evergreen
Rating Subscriber Bedwars Clips,Community Content,Long-form,2026-04-16,8200,3.2,280,920,65,45,Too early for community content. Not enough subscribers to generate interest. Low impressions suggest algorithm confusion.,Subscriber Conversion
This Bedwars Glitch Changes Everything,Glitches/Exploits,Long-form,2026-04-20,58000,8.5,360,13600,620,280,Highest CTR on channel. Curiosity gap works perfectly. Viewers want to know the glitch. Retention drops after reveal at 4 min.,Experimental Breakout
How to Get Better at Bedwars in 2026 — Complete Guide,Improvement Guide,Long-form,2026-04-25,42000,5.0,560,6100,250,70,Strong evergreen content. Long watch time from committed viewers. Will rank in search long-term. Steady retention curve.,Searchable Evergreen
