title,topic,format,publishDate,impressions,ctr,avgViewDuration,views,likes,comments,retentionNotes,category
5 Meals Under $10 That Taste Expensive,Budget Meals,Long-form,2026-01-08,95000,7.8,520,18200,890,245,Strong hook showing the final dishes. Retention holds above 55% throughout. Each recipe segment has its own bump. Viewers stay for all 5.,Searchable Evergreen
I Made Gordon Ramsay's Most Famous Recipe — Honest Review,Celebrity Recipes,Long-form,2026-01-15,120000,8.9,480,26400,1350,420,Highest CTR on channel. Celebrity name drives clicks. Honest reaction format keeps viewers engaged. 62% retention at midpoint. Massive comment debate.,Experimental Breakout
Meal Prep for the Entire Week in 2 Hours,Meal Prep,Long-form,2026-01-22,78000,6.5,600,14800,720,180,Excellent retention — viewers watch the full process. Practical value keeps them engaged. Strong save rate suggests viewers bookmark this.,Searchable Evergreen
This $3 Ingredient Changed My Cooking Forever,Budget Tips,Long-form,2026-01-29,88000,8.2,410,19500,940,310,Curiosity gap works perfectly. Viewers hooked by the claim. Reveal at 2 min mark keeps retention high. Strong comment engagement with people sharing their own tips.,Experimental Breakout
Top 10 Kitchen Tools Every Beginner Needs,Kitchen Essentials,Long-form,2026-02-05,65000,6.1,540,11200,520,165,List format performs well. Each item segment maintains attention. Affiliate potential is high. Steady retention curve throughout.,Searchable Evergreen
One Pan Dinner in 15 Minutes — Weeknight Lifesaver,Quick Meals,Long-form,2026-02-12,72000,7.1,380,15600,760,195,Time constraint in title creates urgency. Viewers appreciate the speed. Retention strong through the cooking process. Slight dip during plating.,Searchable Evergreen
I Ate Only Dollar Store Food for a Week,Food Challenges,Long-form,2026-02-19,135000,9.1,450,31200,1580,520,Breakout video. Challenge format with built-in narrative arc. Viewers invested in the journey. 58% retention at midpoint. Massive share rate.,Experimental Breakout
Quick Tip: Perfect Rice Every Single Time,Rice Tips,Shorts,2026-02-23,42000,5.8,38,8900,380,95,Strong Short. Universal pain point drives clicks. Quick value delivery. High save rate. Good funnel to long-form content.,Searchable Evergreen
3 Sauces That Make Everything Taste Better,Sauces & Condiments,Long-form,2026-03-01,68000,6.8,490,13400,650,175,Number format works well. Each sauce has its own retention bump. Viewers watch all three. Strong comment section with recipe requests.,Authority Building
Cheap vs Expensive Kitchen Knives — Can You Tell the Difference?,Gear Comparison,Long-form,2026-03-08,92000,8.4,520,21800,1100,380,VS format creates natural tension. Blind test element keeps viewers watching for the reveal. 60% retention. Highest engagement rate on channel.,Experimental Breakout
How to Actually Season Food — The Guide Nobody Taught You,Cooking Fundamentals,Long-form,2026-03-15,82000,7.0,560,16200,780,220,Strong evergreen content. "Nobody Taught You" framing creates curiosity. Long watch time from committed viewers. Will rank in search for months.,Authority Building
30-Second Breakfast Ideas for Busy People,Quick Meals,Shorts,2026-03-19,38000,5.5,32,7200,310,72,Good Short. Practical value for a universal audience. Quick cuts maintain attention. Drives channel page visits.,Searchable Evergreen
The Biggest Cooking Mistake Everyone Makes,Common Mistakes,Long-form,2026-03-25,76000,7.5,430,16800,810,265,"Everyone Makes" creates urgency. Viewers want to check if they're guilty. Strong hook and payoff. Retention holds well through the fix demonstration.,Authority Building
I Tried Every Viral TikTok Recipe — Rating Them Honestly,Viral Recipes,Long-form,2026-04-01,110000,8.7,400,24600,1200,445,Second-highest performer. TikTok crossover drives curiosity. Honest rating format keeps viewers watching through each recipe. High comment engagement.,Experimental Breakout
Cooking for a Date Night — Impressive but Easy,Date Night Cooking,Long-form,2026-04-08,58000,6.3,510,10800,540,160,Specific occasion targeting works well. Viewers appreciate the practical angle. Good retention through the full meal process. Lower CTR but strong watch time.,Searchable Evergreen
5 Spices That Will Transform Your Cooking,Spices & Seasoning,Long-form,2026-04-15,70000,6.9,480,14200,680,190,List format with clear value proposition. Each spice segment maintains attention. Educational tone builds authority. Strong save rate.,Authority Building
60-Second Pasta Hack You Need to Try,Pasta Tips,Shorts,2026-04-19,45000,6.2,35,9800,420,110,Best-performing Short. Pasta is universally appealing. Quick hack format delivers instant value. High share rate drives discovery.,Searchable Evergreen
Restaurant vs Homemade — Which Tastes Better?,Restaurant Comparison,Long-form,2026-04-25,98000,8.0,540,22400,1080,350,VS format with real stakes. Viewers invested in the outcome. Blind taste test creates tension. 57% retention. Strong comment debate about the results.,Experimental Breakout
The Complete Beginner's Guide to Cooking in 2026,Cooking Fundamentals,Long-form,2026-05-01,85000,6.0,680,13800,620,175,Flagship evergreen content. Longest average watch time on channel. Committed viewers watch most of it. Will rank in search long-term. Lower CTR but highest retention.,Searchable Evergreen
How I Went From Burning Toast to Cooking Full Meals,Personal Journey,Long-form,2026-05-08,62000,7.2,460,12400,610,230,Personal story with universal relatability. Viewers connect with the journey. Good retention through transformation arc. Builds strong subscriber loyalty.,Subscriber Conversion
